
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  Y     X     Z   

    11396   0.143213114754         0.00000000000        0.125000000000E-001
       51   0.146196721311         0.00000000000         0.00000000000     
     7795   0.146196721311         0.00000000000         0.00000000000     
    15365   0.146196721311         0.00000000000        0.250000000000E-002
    15305   0.146196721311         0.00000000000        0.500000000000E-002
    15245   0.146196721311         0.00000000000        0.750000000000E-002
    15185   0.146196721311         0.00000000000        0.100000000000E-001
     3833   0.146196721311         0.00000000000        0.125000000000E-001
    11397   0.146196721311         0.00000000000        0.125000000000E-001

   NODE        X                   Y                   Z
       52   0.149180327869         0.00000000000         0.00000000000     
     7796   0.149180327869         0.00000000000         0.00000000000     
    15366   0.149180327869         0.00000000000        0.250000000000E-002
    15306   0.149180327869         0.00000000000        0.500000000000E-002
    15246   0.149180327869         0.00000000000        0.750000000000E-002
    15186   0.149180327869         0.00000000000        0.100000000000E-001
     3834   0.149180327869         0.00000000000        0.125000000000E-001
    11398   0.149180327869         0.00000000000        0.125000000000E-001
       53   0.152163934426         0.00000000000         0.00000000000     
     7797   0.152163934426         0.00000000000         0.00000000000     
    15367   0.152163934426         0.00000000000        0.250000000000E-002
    15307   0.152163934426         0.00000000000        0.500000000000E-002
    15247   0.152163934426         0.00000000000        0.750000000000E-002
    15187   0.152163934426         0.00000000000        0.100000000000E-001
     3835   0.152163934426         0.00000000000        0.125000000000E-001
    11399   0.152163934426         0.00000000000        0.125000000000E-001
       54   0.155147540984         0.00000000000         0.00000000000     
     7798   0.155147540984         0.00000000000         0.00000000000     
    15368   0.155147540984         0.00000000000        0.250000000000E-002
    15308   0.155147540984         0.00000000000        0.500000000000E-002

   NODE        X                   Y                   Z
    15248   0.155147540984         0.00000000000        0.750000000000E-002
    15188   0.155147540984         0.00000000000        0.100000000000E-001
     3836   0.155147540984         0.00000000000        0.125000000000E-001
    11400   0.155147540984         0.00000000000        0.125000000000E-001
       55   0.158131147541         0.00000000000         0.00000000000     
     7799   0.158131147541         0.00000000000         0.00000000000     
    15369   0.158131147541         0.00000000000        0.250000000000E-002
    15309   0.158131147541         0.00000000000        0.500000000000E-002
    15249   0.158131147541         0.00000000000        0.750000000000E-002
    15189   0.158131147541         0.00000000000        0.100000000000E-001
     3837   0.158131147541         0.00000000000        0.125000000000E-001
    11401   0.158131147541         0.00000000000        0.125000000000E-001
       56   0.161114754098         0.00000000000         0.00000000000     
     7800   0.161114754098         0.00000000000         0.00000000000     
    15370   0.161114754098         0.00000000000        0.250000000000E-002
    15310   0.161114754098         0.00000000000        0.500000000000E-002
    15250   0.161114754098         0.00000000000        0.750000000000E-002
    15190   0.161114754098         0.00000000000        0.100000000000E-001
     3838   0.161114754098         0.00000000000        0.125000000000E-001
    11402   0.161114754098         0.00000000000        0.125000000000E-001

   NODE        X                   Y                   Z
       57   0.164098360656         0.00000000000         0.00000000000     
     7801   0.164098360656         0.00000000000         0.00000000000     
    15371   0.164098360656         0.00000000000        0.250000000000E-002
    15311   0.164098360656         0.00000000000        0.500000000000E-002
    15251   0.164098360656         0.00000000000        0.750000000000E-002
    15191   0.164098360656         0.00000000000        0.100000000000E-001
     3839   0.164098360656         0.00000000000        0.125000000000E-001
    11403   0.164098360656         0.00000000000        0.125000000000E-001
       58   0.167081967213         0.00000000000         0.00000000000     
     7802   0.167081967213         0.00000000000         0.00000000000     
    15372   0.167081967213         0.00000000000        0.250000000000E-002
    15312   0.167081967213         0.00000000000        0.500000000000E-002
